,Rest Bay,Croyde,Minehead,Llangennith,Kimmeridge,Sennen,Brighton,Freshwater East,Freshwater West,Marloes,Westdale
0,4-6ft,4-6ft,1-2ft,3-5ft,4-6ft,6-10ft,1ft,0-1ft,4-6ft,4-6ft,4-6ft
1,3-5ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft,1-2ft,0-1ft,3-5ft,4-6ft,3-5ft
2,4-6ft,4-6ft,1-2ft,3-4ft,3-5ft,6-9ft,1-2ft,0-1ft,3-5ft,4-6ft,3-5ft
3,3-5ft,4-6ft,1-2ft,3-4ft,3-5ft,6-9ft,1-2ft,1-2ft,3-5ft,3-5ft,3-5ft
4,3-5ft,4-6ft,1ft,3-4ft,3-5ft,5-9ft,1-2ft,1-2ft,3-5ft,3-5ft,3-4ft
5,3-5ft,3-5ft,1ft,3-4ft,3-5ft,5-8ft,1-2ft,2ft,3-4ft,3-4ft,3-4ft
6,3-5ft,3-5ft,1ft,3-4ft,3-5ft,5-7ft,1ft,2-3ft,3-4ft,3-4ft,3-4ft
7,3-5ft,3-5ft,1ft,2-4ft,3-4ft,4-7ft,1ft,2-4ft,3-4ft,3-4ft,2-4ft
8,3-4ft,3-4ft,1ft,2-3ft,3-4ft,4-6ft,1-2ft,2-4ft,3-4ft,3-5ft,2-4ft
9,3-4ft,2-3ft,1ft,2-3ft,3-4ft,3-5ft,1ft,2-4ft,3-5ft,5-8ft,4-6ft
10,3-4ft,4-6ft,1ft,3-5ft,2-4ft,4-6ft,1ft,2-4ft,5-8ft,7-10ft,5-8ft
11,5-7ft,5-7ft,1-2ft,5-7ft,3-5ft,4-6ft,1-2ft,2-4ft,6-10ft,8-12ft,7-10ft
12,6-9ft,5-8ft,1-2ft,5-8ft,5-7ft,4-7ft,2-3ft,2-3ft,7-11ft,9-13ft,7-11ft
13,6-9ft,5-8ft,1-2ft,6-9ft,5-8ft,4-7ft,2-4ft,2-3ft,7-11ft,9-14ft,7-11ft
14,6-9ft,5-8ft,1-2ft,6-9ft,5-9ft,5-7ft,3-4ft,2-3ft,7-11ft,9-14ft,7-11ft
15,6-9ft,5-8ft,1-2ft,6-9ft,6-9ft,8-13ft,3-4ft,2-3ft,7-11ft,9-14ft,7-12ft
16,6-9ft,6-9ft,1-2ft,6-9ft,6-9ft,9-14ft,3-5ft,2-3ft,8-12ft,9-14ft,8-12ft
17,6-10ft,6-9ft,2ft,6-9ft,10-16ft,10-14ft,3-5ft,2ft,8-12ft,9-14ft,8-12ft
18,6-9ft,6-9ft,2-3ft,6-9ft,9-14ft,9-15ft,3-4ft,1-2ft,8-12ft,9-14ft,8-12ft
19,6-9ft,7-12ft,2-3ft,5-8ft,9-14ft,9-14ft,3-4ft,1ft,7-11ft,8-13ft,7-12ft
20,7-11ft,7-11ft,2-3ft,5-8ft,9-14ft,8-13ft,3-4ft,1ft,7-11ft,10-14ft,8-13ft
21,7-10ft,7-11ft,2-3ft,5-8ft,9-13ft,8-12ft,2-4ft,1ft,7-11ft,9-15ft,8-13ft
22,7-11ft,7-11ft,2-3ft,5-9ft,8-13ft,7-12ft,2-4ft,1ft,6-9ft,8-12ft,7-11ft
23,6-9ft,6-9ft,2-3ft,4-7ft,8-12ft,7-11ft,2-3ft,0-1ft,5-8ft,5-8ft,5-9ft
24,5-9ft,5-9ft,2ft,4-7ft,7-10ft,7-11ft,2-4ft,1ft,5-9ft,5-8ft,6-9ft
25,5-8ft,5-8ft,2ft,4-7ft,6-10ft,7-11ft,2-3ft,1ft,5-8ft,5-7ft,5-8ft
26,5-8ft,5-8ft,1-2ft,4-6ft,6-9ft,7-11ft,2-3ft,1ft,5-8ft,4-7ft,4-7ft
27,5-7ft,5-8ft,1-2ft,4-6ft,5-8ft,7-10ft,1-2ft,1ft,5-7ft,4-7ft,4-6ft
28,5-7ft,5-7ft,1-2ft,3-5ft,4-7ft,6-10ft,1-2ft,1-2ft,5-7ft,4-6ft,5-7ft
29,5-7ft,5-7ft,1-2ft,3-5ft,4-6ft,6-10ft,1-2ft,,4-7ft,4-6ft,4-7ft
30,4-7ft,4-7ft,1-2ft,3-5ft,4-6ft,6-9ft,1-2ft,,4-7ft,3-5ft,4-6ft
31,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft,1-2ft,,4-6ft,3-5ft,4-6ft
32,4-6ft,4-6ft,1-2ft,3-5ft,4-6ft,5-8ft,1ft,,4-6ft,3-5ft,4-6ft
33,4-6ft,4-6ft,1ft,3-5ft,3-5ft,5-8ft,1-2ft,,4-6ft,3-5ft,4-5ft
34,4-6ft,3-5ft,1ft,3-4ft,3-5ft,5-7ft,1-2ft,,4-6ft,3-5ft,3-5ft
35,3-5ft,3-5ft,1ft,3-4ft,3-5ft,4-7ft,1-2ft,,3-5ft,3-5ft,3-5ft
36,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-7ft,1ft,,3-5ft,3-5ft,3-5ft
37,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-6ft,1ft,,3-5ft,3-5ft,3-5ft
38,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-6ft,1ft,,3-5ft,3-5ft,3-5ft
39,3-5ft,3-4ft,1ft,3-4ft,2-4ft,4-6ft,1ft,,3-5ft,3-5ft,3-5ft
40,3-5ft,3-4ft,1ft,3-4ft,2-4ft,6-9ft,1ft,,3-5ft,3-5ft,3-5ft
41,3-5ft,3-5ft,1ft,3-4ft,2-4ft,7-11ft,1ft,,5-8ft,5-7ft,5-8ft
42,5-7ft,5-8ft,1-2ft,4-6ft,2-3ft,7-11ft,1ft,,5-8ft,5-7ft,5-8ft
43,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft,1ft,,5-8ft,5-7ft,5-8ft
44,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft,1ft,,5-8ft,5-8ft,5-8ft
45,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft,1ft,,5-8ft,5-8ft,5-8ft
46,5-7ft,5-7ft,1-2ft,4-6ft,4-6ft,6-10ft,1ft,,5-8ft,5-7ft,5-8ft
47,4-7ft,5-7ft,1-2ft,4-6ft,4-6ft,6-10ft,1-2ft,,5-8ft,5-7ft,5-8ft
48,4-7ft,4-7ft,1-2ft,3-5ft,4-6ft,6-9ft,1-2ft,,5-7ft,4-7ft,5-7ft
49,4-6ft,4-7ft,1-2ft,3-5ft,3-5ft,6-9ft,1ft,,5-7ft,4-7ft,4-7ft
50,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft,1ft,,4-7ft,4-6ft,4-7ft
51,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,5-8ft,1ft,,4-6ft,4-6ft,4-6ft
52,4-5ft,4-6ft,1-2ft,3-4ft,3-5ft,5-8ft,1ft,,4-6ft,3-5ft,4-6ft
53,3-5ft,4-6ft,1-2ft,3-4ft,3-4ft,5-8ft,1ft,,4-6ft,3-5ft,4-6ft
54,3-5ft,3-5ft,1-2ft,2-4ft,3-4ft,5-7ft,1ft,,3-5ft,3-5ft,3-5ft
55,3-5ft,3-5ft,1-2ft,2-4ft,2-4ft,4-7ft,1ft,,3-5ft,3-4ft,3-5ft
